run_id,n_assets,instance,penalty_label,qaoa_seed,feasible_set_size,final_P_F,final_D_cond,initial_P_F,initial_D_cond,point_mass_D_cond
N12_i00_Amargin_s43,12,0,Amargin,43,66,0.013217845989856869,0.08470774863982192,0.10368476493749768,0.18520464030402745,0.9848484848484849
N12_i00_Amargin_s44,12,0,Amargin,44,66,0.41153092798776925,0.19000251246367944,0.12332593882456422,0.10372538475789,0.9848484848484849
N12_i00_Amargin_s45,12,0,Amargin,45,66,0.14716288792988053,0.3397317392704877,0.13479332547285594,0.33240173149100244,0.9848484848484849
N12_i00_Amargin_s46,12,0,Amargin,46,66,0.3777733837487176,0.5146393397617808,0.11947683713515289,0.2994866333617176,0.9848484848484849
N12_i01_1.1xAcrit_s42,12,1,1.1xAcrit,42,66,0.22889191284775734,0.16183212138138459,0.22212851918993692,0.3904812344137331,0.9848484848484849
N12_i01_1.1xAcrit_s43,12,1,1.1xAcrit,43,66,0.03155859396792948,0.0945285794001272,0.1527379103936255,0.12644981419004298,0.9848484848484849
N12_i01_1.1xAcrit_s44,12,1,1.1xAcrit,44,66,0.27412270102649927,0.20997455474276056,0.12459431309252977,0.0958168658216077,0.9848484848484849
N12_i01_1.1xAcrit_s45,12,1,1.1xAcrit,45,66,0.051791633526590886,0.3719927208840589,0.13172851514536887,0.3361395161149997,0.9848484848484849
N12_i01_1.1xAcrit_s46,12,1,1.1xAcrit,46,66,0.26432233720697695,0.628029766292349,0.125457294867374,0.2374767699022818,0.9848484848484849
N12_i01_10xAcrit_s42,12,1,10xAcrit,42,66,0.16357967967633158,0.17353826070129572,0.12160763773135841,0.04164058982047141,0.9848484848484849
N12_i01_10xAcrit_s43,12,1,10xAcrit,43,66,0.01215304373181425,0.00967105378526853,0.2263631911482662,0.004599444448303826,0.9848484848484849
N12_i01_10xAcrit_s44,12,1,10xAcrit,44,66,0.5124211497604847,0.015494080958799193,0.12093675346113741,0.018613880951164924,0.9848484848484849
N12_i01_10xAcrit_s45,12,1,10xAcrit,45,66,0.11932367563713342,0.09494306055970804,0.07995069120079279,0.06468761745442624,0.9848484848484849
N12_i01_10xAcrit_s46,12,1,10xAcrit,46,66,0.31645177910104394,0.021850172527965034,0.014068753065657802,0.10915721556903403,0.9848484848484849
N12_i01_2xAcrit_s42,12,1,2xAcrit,42,66,0.62126195570454,0.06106443462808057,0.20335203508875566,0.3906111391079338,0.9848484848484849
N12_i01_2xAcrit_s43,12,1,2xAcrit,43,66,0.024717045977013186,0.0394565186840931,0.19628707179799676,0.063406718192608,0.9848484848484849
N12_i01_2xAcrit_s44,12,1,2xAcrit,44,66,0.33706564432941377,0.12176435638994301,0.12423673528246582,0.06700806242181445,0.9848484848484849
N12_i01_2xAcrit_s45,12,1,2xAcrit,45,66,0.06458056957126246,0.34921402803837387,0.14920987459481694,0.261872318282241,0.9848484848484849
N12_i01_2xAcrit_s46,12,1,2xAcrit,46,66,0.36754607083275914,0.26151974590507043,0.07489988312590867,0.1986826964210688,0.9848484848484849
N12_i01_5xAcrit_s42,12,1,5xAcrit,42,66,0.1917625175701687,0.31350779075882745,0.1040128524764441,0.11137532412124697,0.9848484848484849
N12_i01_5xAcrit_s43,12,1,5xAcrit,43,66,0.016296429559588432,0.014641917573336126,0.22387961274944246,0.015566715957832187,0.9848484848484849
N12_i01_5xAcrit_s44,12,1,5xAcrit,44,66,0.47694271756336093,0.037847086644664504,0.1223634536145255,0.03379917016133797,0.9848484848484849
N12_i01_5xAcrit_s45,12,1,5xAcrit,45,66,0.05650048115057871,0.2067914691662937,0.10836080921581015,0.14833285520474393,0.9848484848484849
N12_i01_5xAcrit_s46,12,1,5xAcrit,46,66,0.09946871103602462,0.43663309925114974,0.02347137477772776,0.19134087124641752,0.9848484848484849
N12_i01_Aheur_s42,12,1,Aheur,42,66,0.17893968150019646,0.011620493928349625,0.11475107236765325,0.005699206254333036,0.9848484848484849
N12_i01_Aheur_s43,12,1,Aheur,43,66,0.009937588081811555,0.0017181469908468267,0.22293777321465313,0.0004764412462330541,0.9848484848484849
N12_i01_Aheur_s44,12,1,Aheur,44,66,0.5031171818263829,0.0017838294447921343,0.11910597118549049,0.0027717392024430897,0.9848484848484849
N12_i01_Aheur_s45,12,1,Aheur,45,66,0.13556681317277253,0.02646227583174414,0.06965742155443877,0.0017924012546013893,0.9848484848484849
