n_assets,n_select,feasible_set_size,solution,rank,rank_ties,solution_index,f,f_star,delta_F,penalty_label,penalty,threshold,threshold_kind,threshold_binding_m,a_margin,a_margin_target,a_heur,E_A,E_A_star,abs_E_star,g_off,g_F,deflation_D,c_max_all_states,c_max_cardinality,c_max_proven,r_all,r_all_of_worst_feasible
28,5,98280,median,49141,1,4587778,0.9402299192815979,-0.16760980693372507,3.0234638504618934,5xAcrit,0.828376753060766,0.1656753506121532,A_safe (bounded outside K±2; upper bound on A_crit),4,nan,nan,28.999999999951484,-19.769188907237552,-20.877028633452877,20.877028633452877,0.05306500966522342,0.366414080342346,6.905003554206048,458.91248584013647,28,False,0.9976909880420567,0.9936983536337197
28,5,98280,worst_feasible,98280,1,33591553,2.8558540435281685,-0.16760980693372507,3.0234638504618934,5xAcrit,0.828376753060766,0.1656753506121532,A_safe (bounded outside K±2; upper bound on A_crit),4,nan,nan,28.999999999951484,-17.853564782990983,-20.877028633452877,20.877028633452877,0.14482251778000454,1.0,6.905003554206048,458.91248584013647,28,False,0.9936983536337197,0.9936983536337197
28,5,98280,published_qaoa,111,1,218136578,0.005815856190140245,-0.16760980693372507,3.0234638504618934,5xAcrit,0.828376753060766,0.1656753506121532,A_safe (bounded outside K±2; upper bound on A_crit),4,nan,nan,28.999999999951484,-20.703602970329012,-20.877028633452877,20.877028633452877,0.0083070089220442,0.057359926131536565,6.905003554206048,458.91248584013647,28,False,0.9996385380299231,0.9936983536337197
28,5,98280,optimum,1,1,151027778,-0.16760980693372507,-0.16760980693372507,3.0234638504618934,10xAcrit,1.656753506121532,0.1656753506121532,A_safe (bounded outside K±2; upper bound on A_crit),4,nan,nan,28.999999999951484,-41.58644745997203,-41.58644745997203,41.58644745997203,0.0,0.0,13.754570756193722,876.4143693827625,28,False,1.0,0.9967064693244386
28,5,98280,rank_2,2,1,150995014,-0.15414552092554457,-0.16760980693372507,3.0234638504618934,10xAcrit,1.656753506121532,0.1656753506121532,A_safe (bounded outside K±2; upper bound on A_crit),4,nan,nan,28.999999999951484,-41.57298317396385,-41.58644745997203,41.58644745997203,0.00032376619861891804,0.0044532650873677785,13.754570756193722,876.4143693827625,28,False,0.9999853330348283,0.9967064693244386
28,5,98280,rank_5,5,1,151027842,-0.13490500173717712,-0.16760980693372507,3.0234638504618934,10xAcrit,1.656753506121532,0.1656753506121532,A_safe (bounded outside K±2; upper bound on A_crit),4,nan,nan,28.999999999951484,-41.553742654775476,-41.58644745997203,41.58644745997203,0.0007864294065519091,0.010816998917169671,13.754570756193722,876.4143693827625,28,False,0.9999643738822488,0.9967064693244386
28,5,98280,rank_10,10,1,134250566,-0.12404239779148485,-0.16760980693372507,3.0234638504618934,10xAcrit,1.656753506121532,0.1656753506121532,A_safe (bounded outside K±2; upper bound on A_crit),4,nan,nan,28.999999999951484,-41.54288005082979,-41.58644745997203,41.58644745997203,0.0010476347897755613,0.014409766842618094,13.754570756193722,876.4143693827625,28,False,0.9999525409908762,0.9967064693244386
28,5,98280,rank_50,50,1,152174594,-0.04028262754479295,-0.16760980693372507,3.0234638504618934,10xAcrit,1.656753506121532,0.1656753506121532,A_safe (bounded outside K±2; upper bound on A_crit),4,nan,nan,28.999999999951484,-41.45912028058309,-41.58644745997203,41.58644745997203,0.0030617469672418554,0.042113015298489646,13.754570756193722,876.4143693827625,28,False,0.999861299492274,0.9967064693244386
28,5,98280,rank_100,100,1,135299078,0.00011618145737801733,-0.16760980693372507,3.0234638504618934,10xAcrit,1.656753506121532,0.1656753506121532,A_safe (bounded outside K±2; upper bound on A_crit),4,nan,nan,28.999999999951484,-41.41872147158092,-41.58644745997203,41.58644745997203,0.004033188662064569,0.05547477882544541,13.754570756193722,876.4143693827625,28,False,0.9998172921142184,0.9967064693244386
28,5,98280,rank_1000,1000,1,168820804,0.186667295730506,-0.16760980693372507,3.0234638504618934,10xAcrit,1.656753506121532,0.1656753506121532,A_safe (bounded outside K±2; upper bound on A_crit),4,nan,nan,28.999999999951484,-41.232170357307794,-41.58644745997203,41.58644745997203,0.008519051861913221,0.11717590161036928,13.754570756193722,876.4143693827625,28,False,0.9996140775736096,0.9967064693244386
28,5,98280,median,49141,1,4587778,0.9402299192815979,-0.16760980693372507,3.0234638504618934,10xAcrit,1.656753506121532,0.1656753506121532,A_safe (bounded outside K±2; upper bound on A_crit),4,nan,nan,28.999999999951484,-40.478607733756704,-41.58644745997203,41.58644745997203,0.026639441305527378,0.366414080342346,13.754570756193722,876.4143693827625,28,False,0.9987932039864348,0.9967064693244386
