n_assets,treatment,control,penalty_label,field,pairs,pairs_dropped,instances,instance_median_diff,ci95_low,ci95_high,instances_treatment_better,instances_worse,instances_tied,instance_median_abs_diff,instance_iqr_diff,instance_p95_abs_diff,instance_max_abs_diff,direction
16,adam_0.03,adam_0.1,Amargin,final_P_opt,50,0,10,-3.360509322192229e-05,-9.272013994632289e-05,-1.8647238903213292e-05,1,9,0,3.360509322192229e-05,6.416282394638984e-05,0.0001544417620607418,0.00019566452829167247,worse
16,adam_0.03,adam_0.1,Amargin,g_F,47,3,10,0.014175340980935904,0.0,0.029610197163136592,0,6,4,0.014175340980935904,0.026298015997449624,0.03878920640359803,0.042497329333338135,worse
16,adam_0.03,adam_0.1,Amargin,rank_best_feasible,47,3,10,1.0,0.0,1.5,0,6,4,1.0,1.375,1.5,1.5,worse
16,adam_0.03,adam_0.1,Amargin,objective_evaluations,50,0,10,50.0,50.0,50.0,0,10,0,50.0,0.0,50.0,50.0,worse
16,adam_0.03,adam_0.1,Amargin,gradient_evaluations,50,0,10,50.0,50.0,50.0,0,10,0,50.0,0.0,50.0,50.0,worse
16,adam_0.03,adam_0.1,Amargin,optimisation_seconds,50,0,10,18.277416239958256,16.04349016211927,18.426231973804533,0,10,0,18.277416239958256,2.1119357962161303,18.489611851098015,18.498501693829894,worse
16,lbfgs_100grad,adam_0.1,Aheur,best_expectation,50,0,10,-0.003640115261077881,-0.0036711618304252625,-0.0036144256591796875,9,1,0,0.003659367561340332,5.2601099014282227e-05,1.0205931216478328,1.8525927662849426,better
16,lbfgs_100grad,adam_0.1,Aheur,best_expectation_by_50,50,0,10,-0.0036393404006958008,-0.0036710500717163086,-0.0036144256591796875,9,1,0,0.003659367561340332,5.2601099014282227e-05,1.0205931216478328,1.8525927662849426,better
16,lbfgs_100grad,adam_0.1,Aheur,expectation_at_final_angles,50,0,10,-0.0021417737007141113,-0.0024601221084594727,-0.0019851326942443848,9,1,0,0.0022263526916503906,0.0003496110439300537,1.0162045389413814,1.8455583453178406,better
16,lbfgs_100grad,adam_0.1,Aheur,final_P_F,50,0,10,8.348553896553312e-05,7.316488847664004e-05,8.69785752684038e-05,9,1,0,8.583804742556822e-05,1.2478685349037733e-05,0.049385330856651324,0.08971659220333095,better
16,lbfgs_100grad,adam_0.1,Aheur,final_P_tau_main,50,0,10,1.6055687979132927e-07,1.3300507362146163e-07,2.475415783464996e-07,9,1,0,1.6560360904804838e-07,3.696669637065497e-08,9.066260509484875e-05,0.0001644531475903932,better
16,lbfgs_100grad,adam_0.1,Aheur,final_Q_tau_main_1000,50,0,10,0.00016039132638472758,0.00013286147220776178,0.0002471150638975176,9,1,0,0.00016543095685428162,3.69387656779397e-05,0.0714883996683563,0.12959222392093306,better
