sweep,n_assets,n_select,qaoa_seed,p_layers,energy_quantum,energy_classical,gap_pct,runtime_s,feasible,sharpe_ratio,classical_method,backend,precision,steps,shots,data_start,data_end
grid,16,3,45,1,-152.98057942377324,-153.26711059662722,0.1869488970847011,9.068110353313386,True,1.0496544831366663,exact,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
grid,16,3,46,1,-153.03209142109904,-153.26711059662722,0.15333960078800604,9.137019851244986,True,0.8753667176637755,exact,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
grid,16,3,42,2,-153.26711059662722,-153.26711059662722,0.0,16.286375808529556,True,1.3851408274006345,exact,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
grid,16,3,43,2,-136.0634329689806,-153.26711059662722,11.224637536831855,16.2377575840801,False,1.3695992059528768,exact,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
grid,16,3,44,2,-153.2608488673824,-153.26711059662722,0.004085500940441283,16.051285003311932,True,1.376780890762973,exact,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
grid,16,3,45,2,-153.2608488673824,-153.26711059662722,0.004085500940441283,16.273043479770422,True,1.376780890762973,exact,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
grid,16,3,46,2,-153.23187921152646,-153.26711059662722,0.022986918043676658,16.222764124162495,True,1.4578597337788786,exact,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
grid,16,3,42,3,-153.18810094770805,-153.26711059662722,0.05155029582772533,23.390273588709533,True,1.4577015575052372,exact,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
grid,16,3,43,3,-153.26711059662722,-153.26711059662722,0.0,23.150037524290383,True,1.3851408274006345,exact,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
grid,16,3,44,3,-153.25712549949506,-153.26711059662722,0.00651483354340628,23.177537763491273,True,1.510671395866353,exact,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
grid,16,3,45,3,-153.2608488673824,-153.26711059662722,0.004085500940441283,23.156019151210785,True,1.376780890762973,exact,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
grid,16,3,46,3,-153.23187921152646,-153.26711059662722,0.022986918043676658,23.250919909216464,True,1.4578597337788786,exact,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
grid,16,3,42,4,-153.20173150091648,-153.26711059662722,0.0426569636866226,30.27997608203441,True,1.236091263851482,exact,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
grid,16,3,43,4,-153.05462000438632,-153.26711059662722,0.13864069819919544,30.205553063191473,True,1.124523868063652,exact,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
grid,16,3,44,4,-153.26711059662722,-153.26711059662722,0.0,30.077210295945406,True,1.3851408274006345,exact,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
grid,16,3,45,4,-153.20173150091648,-153.26711059662722,0.0426569636866226,30.294853856787086,True,1.236091263851482,exact,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
grid,16,3,46,4,-153.26711059662722,-153.26711059662722,0.0,30.166520826518536,True,1.3851408274006345,exact,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
grid,16,3,42,1,-152.85859528231435,-153.26711059662722,0.26653814554383254,18.420746499672532,True,1.1369144479290247,exact,lightning_gpu,single,100,1000,2023-08-06,2026-08-05
grid,16,3,43,1,-136.07953997403524,-153.26711059662722,11.21412842956681,18.49438434187323,False,1.1172922135622942,exact,lightning_gpu,single,100,1000,2023-08-06,2026-08-05
grid,16,3,44,1,-153.2608488673824,-153.26711059662722,0.004085500940441283,18.43001634348184,True,1.376780890762973,exact,lightning_gpu,single,100,1000,2023-08-06,2026-08-05
grid,16,3,45,1,-152.9346156197158,-153.26711059662722,0.21693824305626122,18.53360529523343,True,1.0308251251468017,exact,lightning_gpu,single,100,1000,2023-08-06,2026-08-05
grid,16,3,46,1,-153.26711059662722,-153.26711059662722,0.0,18.586114168167114,True,1.3851408274006345,exact,lightning_gpu,single,100,1000,2023-08-06,2026-08-05
grid,16,3,42,2,-153.26711059662722,-153.26711059662722,0.0,32.36766890436411,True,1.3851408274006345,exact,lightning_gpu,single,100,1000,2023-08-06,2026-08-05
grid,16,3,43,2,-153.25712549949506,-153.26711059662722,0.00651483354340628,32.54612086433917,True,1.510671395866353,exact,lightning_gpu,single,100,1000,2023-08-06,2026-08-05
grid,16,3,44,2,-153.26711059662722,-153.26711059662722,0.0,32.79652139078826,True,1.3851408274006345,exact,lightning_gpu,single,100,1000,2023-08-06,2026-08-05
grid,16,3,45,2,-153.22574116732136,-153.26711059662722,0.02699171997489859,32.57399440463632,True,1.4547087673515529,exact,lightning_gpu,single,100,1000,2023-08-06,2026-08-05
grid,16,3,46,2,-153.26711059662722,-153.26711059662722,0.0,32.705796390771866,True,1.3851408274006345,exact,lightning_gpu,single,100,1000,2023-08-06,2026-08-05
grid,16,3,42,3,-153.25712549949506,-153.26711059662722,0.00651483354340628,46.38214795477688,True,1.510671395866353,exact,lightning_gpu,single,100,1000,2023-08-06,2026-08-05
grid,16,3,43,3,-153.2608488673824,-153.26711059662722,0.004085500940441283,46.74197534285486,True,1.376780890762973,exact,lightning_gpu,single,100,1000,2023-08-06,2026-08-05
grid,16,3,44,3,-153.26711059662722,-153.26711059662722,0.0,46.76982095092535,True,1.3851408274006345,exact,lightning_gpu,single,100,1000,2023-08-06,2026-08-05
